placename,oc_lat,oc_lng,oc_formatted
Regionshospitalet Brædstrup in Brædstrup,55.97153,9.61129,"Brædstrup, Horsens Kommune, Denmark"
Regionshospitalet Grenaa in Grenaa,56.41578,10.87825,"Grenå, Norddjurs Kommune, Denmark"
Regionshospitalet Hammel Neurocenter in Hammel,56.25762,9.86316,"Hammel, Favrskov Kommune, Denmark"
Regionshospitalet Herning in Herning,56.1398897,8.9706409,"Regionshospitalet Herning, Overgade, 7400 Herning, Denmark"
Regionshospitalet Holstebro in Holstebro,56.36009,8.61607,"Holstebro, Holstebro Kommune, Denmark"
Regionshospitalet Horsens in Horsens,55.8625581,9.8735381,"Regionshospitalet Horsens, Strandpromenaden, 8700 Horsens, Denmark"
Regionshospitalet Kjellerup in Kjellerup,56.28581,9.43528,"Kjellerup, Silkeborg Kommune, Denmark"
Regionshospitalet Lemvig in Lemvig,56.5496036,8.3144714,"Regionshospitalet Lemvig, Vænget, 7620 Lemvig, Denmark"
Regionshospitalet Odder in Odder,55.97313,10.153,"Odder, Odder Kommune, Denmark"
Regionshospitalet Randers in Randers,56.4705502,10.0478374,"Regionshospitalet Randers, Østervangsvej, 8900 Randers C, Denmark"
Regionshospitalet Ringkøbing in Ringkøbing,56.0901366,8.2504954,"Regionshospitalet Ringkøbing, Tangsvej, 6950 Ringkøbing, Denmark"
Regionshospitalet Samsø on the island of Samsø,55.85245,10.60045,"Samsø Kommune, Denmark"
Regionshospitalet Silkeborg in Silkeborg,56.1706118,9.5590774,"Regionshospitalet Silkeborg, Glentevej, 8600 Silkeborg, Denmark"
Regionshospitalet Skanderborg Sundhedscenter in Skanderborg,56.03991,9.9272,"Skanderborg, Skanderborg Kommune, Denmark"
Regionshospitalet Skive in Skive,56.56381,9.04025,"Skive, Skive Kommune, Denmark"
Regionshospitalet Tarm in Tarm,55.90861,8.53041,"Tarm, Ringkøbing-Skjern Kommune, Denmark"
Regionshospitalet Viborg in Viborg,56.4453393,9.4044402,"Regionshospitalet Viborg, Banevejen, 8800 Viborg, Denmark"
Aarhus Universitetshospital Skejby in Aarhus,56.1910097,10.1701402,"Aarhus Universitetshospital, Tyge Søndergaards Vej, 8210 Aarhus V, Denmark"
